FNWI BA;1593;1180;1889;1381;2061;1459;2146;1511;2239;1574;2285;1640
FNWI MA;829;520;971;629;1053;702;1140;751;1287;883;1454;968
BA Artificial Intelligence;110;23;160;21;171;29;200;41;267;65;324;89
MA Artificial Intelligence;82;10;84;11;95;20;105;25;153;35;227;57
MA Astronomy and Astrophysics;19;7;21;7;24;7;29;10;21;7;15;0
MA Biological Sciences;62;61;81;73;84;85;77;77;74;83;74;85
BA Biology;73;95;79;110;78;115;74;106;71;95;84;95
BA Biomedical Sciences;155;210;140;227;150;252;149;280;145;259;143;218
MA Biomedical Sciences;67;134;94;188;121;231;135;253;139;290;117;296
MA Brain and Cognitive Sciences;44;62;42;82;46;92;46;84;50;87;48;86
BA Chemistry;59;41;66;46;106;50;115;58;133;65;140;90
MA Chemistry;65;31;81;37;82;41;87;46;55;31;31;17
MA Computational Science;19;1;21;4;38;7;56;18;74;15;89;20
MA Computer Science;0;0;0;0;0;0;0;0;11;0;22;1
BA Computing Science;170;13;202;9;238;17;259;16;277;19;279;26
BA Earth Sciences;35;22;22;12;12;6;0;0;0;0;0;0
MA Earth Sciences;23;31;27;27;9;16;41;22;46;30;49;48
MA Forensic Science;15;61;17;48;20;46;20;61;12;65;14;63
BA Future Planet Studies;127;85;194;132;256;185;287;206;305;229;294;251
BA Information Science;96;18;135;29;157;38;85;46;192;61;212;65
MA Information Studies;92;29;121;48;123;55;148;57;154;81;176;85
MA Life Sciences;13;9;12;12;13;10;19;9;20;14;16;20
MA Logic;53;29;60;30;69;31;54;30;65;37;71;26
MA Mathematical Physics;13;0;12;0;16;0;14;1;12;2;7;1
BA Mathematics;96;41;111;47;20;41;138;44;137;42;138;40
MA Mathematics;18;8;25;9;24;11;24;12;29;7;44;10
BA Natural and Social Sciences;202;159;224;190;249;216;245;229;251;229;250;222
MA Physics;88;34;112;33;132;37;148;34;173;49;192;63
BA Physics and Astronomy;240;32;278;39;267;51;261;51;263;65;257;72
BA Psychobiology;206;463;248;550;220;496;201;466;174;469;151;483
MA Software Engineering;91;8;93;14;78;7;73;6;74;7;86;7
MA Stochastics and Financial Mathematics;19;2;16;2;20;3;22;4;29;6;29;7
MA System and Network Engineering;46;2;49;3;39;3;42;2;35;2;43;0
